timestamp,n_samples,n_features,hidden_layer_sizes,classes,activation,solver,iterations,train_score,test_score
2022-03-24T00:35:40.171677,5000,50,"(100, 100)",7,relu,adam,122,1.0,0.7696
2022-03-24T00:35:52.925321,5000,50,"(200, 200)",7,relu,adam,80,1.0,0.8168
2022-03-24T00:36:17.566281,5000,50,"(500, 500)",7,relu,adam,55,1.0,0.8632
2022-03-24T00:36:24.031484,1000,100,"(100, 100)",2,relu,adam,85,1.0,0.856
2022-03-24T00:36:31.361176,1000,100,"(200, 200)",2,relu,adam,70,1.0,0.816
2022-03-24T00:36:41.050013,1000,100,"(500, 500)",2,relu,adam,54,1.0,0.852
2022-03-24T00:36:48.463606,2000,100,"(100, 100)",2,relu,adam,78,1.0,0.916
2022-03-24T00:36:56.176231,2000,100,"(200, 200)",2,relu,adam,57,1.0,0.932
2022-03-24T00:37:09.358062,2000,100,"(500, 500)",2,relu,adam,50,1.0,0.934
2022-03-24T00:37:17.776555,5000,100,"(100, 100)",2,relu,adam,63,1.0,0.9416
2022-03-24T00:37:26.925318,5000,100,"(200, 200)",2,relu,adam,46,1.0,0.9392
2022-03-24T00:37:47.471014,5000,100,"(500, 500)",2,relu,adam,42,1.0,0.9592
2022-03-24T00:37:54.179155,1000,100,"(100, 100)",3,relu,adam,108,1.0,0.684
2022-03-24T00:38:01.608175,1000,100,"(200, 200)",3,relu,adam,82,1.0,0.712
2022-03-24T00:38:11.268672,1000,100,"(500, 500)",3,relu,adam,56,1.0,0.728
2022-03-24T00:38:18.846618,2000,100,"(100, 100)",3,relu,adam,95,1.0,0.83
2022-03-24T00:38:26.539478,2000,100,"(200, 200)",3,relu,adam,72,1.0,0.826
2022-03-24T00:38:40.057760,2000,100,"(500, 500)",3,relu,adam,55,1.0,0.856
2022-03-24T00:38:49.370372,5000,100,"(100, 100)",3,relu,adam,74,1.0,0.8752
2022-03-24T00:38:59.319270,5000,100,"(200, 200)",3,relu,adam,54,1.0,0.8896
2022-03-24T00:39:20.566145,5000,100,"(500, 500)",3,relu,adam,45,1.0,0.92
2022-03-24T00:39:27.518887,1000,100,"(100, 100)",7,relu,adam,146,1.0,0.376
2022-03-24T00:39:34.858132,1000,100,"(200, 200)",7,relu,adam,96,1.0,0.424
2022-03-24T00:39:45.672127,1000,100,"(500, 500)",7,relu,adam,62,1.0,0.46
2022-03-24T00:39:53.589548,2000,100,"(100, 100)",7,relu,adam,136,1.0,0.48
2022-03-24T00:40:02.409540,2000,100,"(200, 200)",7,relu,adam,90,1.0,0.542
2022-03-24T00:40:17.415936,2000,100,"(500, 500)",7,relu,adam,64,1.0,0.604
2022-03-24T00:40:27.630005,5000,100,"(100, 100)",7,relu,adam,106,1.0,0.6528
2022-03-24T00:40:39.469907,5000,100,"(200, 200)",7,relu,adam,74,1.0,0.6672
2022-03-24T00:41:03.070245,5000,100,"(500, 500)",7,relu,adam,52,1.0,0.7248
2022-03-24T00:41:10.149069,1000,20,"(100, 100, 100)",2,relu,adam,78,1.0,0.912
2022-03-24T00:41:17.424392,1000,20,"(200, 200, 200)",2,relu,adam,51,1.0,0.92
2022-03-24T00:41:27.447759,1000,20,"(500, 500, 500)",2,relu,adam,35,1.0,0.924
2022-03-24T00:41:34.472770,2000,20,"(100, 100, 100)",2,relu,adam,64,1.0,0.958
2022-03-24T00:41:42.238949,2000,20,"(200, 200, 200)",2,relu,adam,43,1.0,0.952
2022-03-24T00:41:56.492959,2000,20,"(500, 500, 500)",2,relu,adam,34,1.0,0.96
2022-03-24T00:42:05.114917,5000,20,"(100, 100, 100)",2,relu,adam,54,1.0,0.9584
2022-03-24T00:42:15.258341,5000,20,"(200, 200, 200)",2,relu,adam,38,1.0,0.9616
2022-03-24T00:42:40.427659,5000,20,"(500, 500, 500)",2,relu,adam,33,1.0,0.9688
2022-03-24T00:42:47.290640,1000,20,"(100, 100, 100)",3,relu,adam,87,1.0,0.88
2022-03-24T00:42:54.689411,1000,20,"(200, 200, 200)",3,relu,adam,64,1.0,0.896
2022-03-24T00:43:05.716071,1000,20,"(500, 500, 500)",3,relu,adam,45,1.0,0.896
2022-03-24T00:43:13.237742,2000,20,"(100, 100, 100)",3,relu,adam,87,1.0,0.928
2022-03-24T00:43:21.772417,2000,20,"(200, 200, 200)",3,relu,adam,58,1.0,0.916
2022-03-24T00:43:36.906800,2000,20,"(500, 500, 500)",3,relu,adam,40,1.0,0.926
2022-03-24T00:43:47.064569,5000,20,"(100, 100, 100)",3,relu,adam,71,1.0,0.9216
2022-03-24T00:43:57.920974,5000,20,"(200, 200, 200)",3,relu,adam,45,1.0,0.9288
2022-03-24T00:44:25.082185,5000,20,"(500, 500, 500)",3,relu,adam,36,1.0,0.9408
2022-03-24T00:44:32.845004,1000,20,"(100, 100, 100)",7,relu,adam,141,1.0,0.66
2022-03-24T00:44:40.289854,1000,20,"(200, 200, 200)",7,relu,adam,91,1.0,0.668
2022-03-24T00:44:53.611116,1000,20,"(500, 500, 500)",7,relu,adam,61,1.0,0.664
2022-03-24T00:45:01.984707,2000,20,"(100, 100, 100)",7,relu,adam,121,1.0,0.746
2022-03-24T00:45:12.027962,2000,20,"(200, 200, 200)",7,relu,adam,84,1.0,0.74
2022-03-24T00:45:30.930379,2000,20,"(500, 500, 500)",7,relu,adam,53,1.0,0.792
2022-03-24T00:45:43.258583,5000,20,"(100, 100, 100)",7,relu,adam,111,1.0,0.8312
2022-03-24T00:45:56.711734,5000,20,"(200, 200, 200)",7,relu,adam,70,1.0,0.8512
2022-03-24T00:46:28.828437,5000,20,"(500, 500, 500)",7,relu,adam,46,1.0,0.86
2022-03-24T00:46:34.957602,1000,50,"(100, 100, 100)",2,relu,adam,69,1.0,0.864
2022-03-24T00:46:42.347129,1000,50,"(200, 200, 200)",2,relu,adam,45,1.0,0.884
2022-03-24T00:46:52.612095,1000,50,"(500, 500, 500)",2,relu,adam,35,1.0,0.908
2022-03-24T00:46:59.511168,2000,50,"(100, 100, 100)",2,relu,adam,56,1.0,0.932
2022-03-24T00:47:07.131544,2000,50,"(200, 200, 200)",2,relu,adam,39,1.0,0.936
2022-03-24T00:47:20.001792,2000,50,"(500, 500, 500)",2,relu,adam,27,1.0,0.95
2022-03-24T00:47:28.657843,5000,50,"(100, 100, 100)",2,relu,adam,43,1.0,0.9632
2022-03-24T00:47:37.703507,5000,50,"(200, 200, 200)",2,relu,adam,31,1.0,0.9624
2022-03-24T00:47:57.861814,5000,50,"(500, 500, 500)",2,relu,adam,25,1.0,0.9776
2022-03-24T00:48:05.188297,1000,50,"(100, 100, 100)",3,relu,adam,76,1.0,0.788
2022-03-24T00:48:12.463409,1000,50,"(200, 200, 200)",3,relu,adam,53,1.0,0.816
2022-03-24T00:48:23.169246,1000,50,"(500, 500, 500)",3,relu,adam,40,1.0,0.84
2022-03-24T00:48:30.804936,2000,50,"(100, 100, 100)",3,relu,adam,64,1.0,0.86
2022-03-24T00:48:38.346834,2000,50,"(200, 200, 200)",3,relu,adam,46,1.0,0.876
2022-03-24T00:48:52.816687,2000,50,"(500, 500, 500)",3,relu,adam,35,1.0,0.888
2022-03-24T00:49:01.168352,5000,50,"(100, 100, 100)",3,relu,adam,52,1.0,0.9136
2022-03-24T00:49:11.333197,5000,50,"(200, 200, 200)",3,relu,adam,37,1.0,0.9352
2022-03-24T00:49:33.809489,5000,50,"(500, 500, 500)",3,relu,adam,28,1.0,0.9448
2022-03-24T00:49:40.611539,1000,50,"(100, 100, 100)",7,relu,adam,114,1.0,0.528
2022-03-24T00:49:48.000777,1000,50,"(200, 200, 200)",7,relu,adam,75,1.0,0.564
2022-03-24T00:49:59.932902,1000,50,"(500, 500, 500)",7,relu,adam,45,1.0,0.62
2022-03-24T00:50:08.649458,2000,50,"(100, 100, 100)",7,relu,adam,100,1.0,0.64
2022-03-24T00:50:17.339018,2000,50,"(200, 200, 200)",7,relu,adam,65,1.0,0.688
2022-03-24T00:50:33.964150,2000,50,"(500, 500, 500)",7,relu,adam,43,1.0,0.722
2022-03-24T00:50:45.022254,5000,50,"(100, 100, 100)",7,relu,adam,84,1.0,0.7456
2022-03-24T00:50:57.484028,5000,50,"(200, 200, 200)",7,relu,adam,54,1.0,0.7952
2022-03-24T00:51:24.672519,5000,50,"(500, 500, 500)",7,relu,adam,36,1.0,0.8432
2022-03-24T00:51:31.418757,1000,100,"(100, 100, 100)",2,relu,adam,83,1.0,0.792
2022-03-24T00:51:38.482995,1000,100,"(200, 200, 200)",2,relu,adam,48,1.0,0.824
2022-03-24T00:51:49.272617,1000,100,"(500, 500, 500)",2,relu,adam,40,1.0,0.844
2022-03-24T00:51:56.798205,2000,100,"(100, 100, 100)",2,relu,adam,61,1.0,0.9
2022-03-24T00:52:04.356348,2000,100,"(200, 200, 200)",2,relu,adam,41,1.0,0.902
2022-03-24T00:52:18.154510,2000,100,"(500, 500, 500)",2,relu,adam,32,1.0,0.916
2022-03-24T00:52:27.413382,5000,100,"(100, 100, 100)",2,relu,adam,49,1.0,0.9288
2022-03-24T00:52:37.214903,5000,100,"(200, 200, 200)",2,relu,adam,33,1.0,0.9296
2022-03-24T00:52:58.132291,5000,100,"(500, 500, 500)",2,relu,adam,25,1.0,0.9544
2022-03-24T00:53:05.330038,1000,100,"(100, 100, 100)",3,relu,adam,89,1.0,0.628
2022-03-24T00:53:12.566159,1000,100,"(200, 200, 200)",3,relu,adam,56,1.0,0.704
2022-03-24T00:53:24.258709,1000,100,"(500, 500, 500)",3,relu,adam,48,1.0,0.72
2022-03-24T00:53:32.091124,2000,100,"(100, 100, 100)",3,relu,adam,74,1.0,0.812
2022-03-24T00:53:40.783322,2000,100,"(200, 200, 200)",3,relu,adam,53,1.0,0.822
2022-03-24T00:53:55.970368,2000,100,"(500, 500, 500)",3,relu,adam,39,1.0,0.874
2022-03-24T00:54:05.419656,5000,100,"(100, 100, 100)",3,relu,adam,54,1.0,0.8592
2022-03-24T00:54:15.887109,5000,100,"(200, 200, 200)",3,relu,adam,40,1.0,0.8784
2022-03-24T00:54:40.354265,5000,100,"(500, 500, 500)",3,relu,adam,30,1.0,0.8992
2022-03-24T00:54:47.627114,1000,100,"(100, 100, 100)",7,relu,adam,113,1.0,0.4
2022-03-24T00:54:55.093769,1000,100,"(200, 200, 200)",7,relu,adam,75,1.0,0.412
2022-03-24T00:55:07.513518,1000,100,"(500, 500, 500)",7,relu,adam,49,1.0,0.42
2022-03-24T00:55:15.713631,2000,100,"(100, 100, 100)",7,relu,adam,100,1.0,0.426
2022-03-24T00:55:24.574873,2000,100,"(200, 200, 200)",7,relu,adam,65,1.0,0.49
2022-03-24T00:55:42.157449,2000,100,"(500, 500, 500)",7,relu,adam,47,1.0,0.554
2022-03-24T00:55:52.927269,5000,100,"(100, 100, 100)",7,relu,adam,79,1.0,0.6016
2022-03-24T00:56:05.423359,5000,100,"(200, 200, 200)",7,relu,adam,52,1.0,0.6384
2022-03-24T00:56:34.229515,5000,100,"(500, 500, 500)",7,relu,adam,38,1.0,0.7168
